Data da série;Vr;Vr_
24/04/2020;5,671;56710
23/04/2020;5,504;55040
22/04/2020;5,407;54070
20/04/2020;5,306;53060
17/04/2020;5,243;52430
16/04/2020;5,259;52590
15/04/2020;5,236;52360
14/04/2020;5,187;51870
13/04/2020;5,177;51770
09/04/2020;5,1;51000
08/04/2020;5,151;51510
07/04/2020;5,217;52170
06/04/2020;5,302;53020
03/04/2020;5,315;53150
02/04/2020;5,265;52650
01/04/2020;5,26;52600
31/03/2020;5,196;51960
30/03/2020;5,175;51750
27/03/2020;5,058;50580
26/03/2020;5,004;50040
25/03/2020;5,012;50120
24/03/2020;5,092;50920
23/03/2020;5,139;51390
20/03/2020;5,049;50490
19/03/2020;5,099;50990
18/03/2020;5,228;52280
17/03/2020;5,001;50010
16/03/2020;5,03;50300
13/03/2020;4,852;48520
12/03/2020;4,818;48180
11/03/2020;4,734;47340
10/03/2020;4,644;46440
09/03/2020;4,745;47450
06/03/2020;4,629;46290
05/03/2020;4,648;46480
04/03/2020;4,578;45780
03/03/2020;4,51;45100
02/03/2020;4,485;44850
28/02/2020;4,492;44920
27/02/2020;4,47;44700
26/02/2020;4,439;44390
21/02/2020;4,39;43900
20/02/2020;4,386;43860
19/02/2020;4,369;43690
18/02/2020;4,358;43580
17/02/2020;4,326;43260
14/02/2020;4,3;43000
13/02/2020;4,344;43440
12/02/2020;4,347;43470
11/02/2020;4,326;43260
10/02/2020;4,327;43270
07/02/2020;4,319;43190
06/02/2020;4,277;42770
05/02/2020;4,244;42440
04/02/2020;4,257;42570
03/02/2020;4,249;42490
31/01/2020;4,283;42830
30/01/2020;4,261;42610
29/01/2020;4,222;42220
28/01/2020;4,194;41940
27/01/2020;4,205;42050
24/01/2020;4,186;41860
23/01/2020;4,165;41650
22/01/2020;4,177;41770
21/01/2020;4,2;42000
20/01/2020;4,189;41890
17/01/2020;4,161;41610
16/01/2020;4,194;41940
15/01/2020;4,177;41770
14/01/2020;4,129;41290
13/01/2020;4,137;41370
10/01/2020;4,081;40810
09/01/2020;4,087;40870
08/01/2020;4,049;40490
07/01/2020;4,06;40600
06/01/2020;4,071;40710
03/01/2020;4,053;40530
02/01/2020;4,023;40230
30/12/2019;4,016;40160
27/12/2019;4,048;40480
26/12/2019;4,063;40630
23/12/2019;4,075;40750
20/12/2019;4,097;40970
19/12/2019;4,061;40610
18/12/2019;4,067;40670
17/12/2019;4,064;40640
16/12/2019;4,061;40610
13/12/2019;4,107;41070
12/12/2019;4,085;40850
11/12/2019;4,133;41330
10/12/2019;4,145;41450
